team_id,meeting_id,agenda_item_id,sequencing,accountability,is_critical,junior_critical_turn,decision_revised
1,T1_M1,1,Interleaved,NoPrompt,1,0,0
1,T1_M1,2,Interleaved,NoPrompt,0,0,1
1,T1_M1,3,Interleaved,NoPrompt,0,0,1
1,T1_M1,4,Human_first,NoPrompt,1,0,0
1,T1_M1,5,AI_first,NoPrompt,0,0,0
1,T1_M2,6,Interleaved,NoPrompt,0,0,0
1,T1_M2,7,AI_first,Prompt,1,0,0
1,T1_M2,8,Human_first,NoPrompt,1,0,0
1,T1_M2,9,Human_first,Prompt,0,0,0
1,T1_M2,10,AI_first,NoPrompt,0,1,0
1,T1_M3,11,Human_first,NoPrompt,0,0,0
1,T1_M3,12,Interleaved,NoPrompt,1,1,1
1,T1_M3,13,Human_first,Prompt,1,0,0
1,T1_M3,14,AI_first,NoPrompt,0,0,0
1,T1_M3,15,AI_first,NoPrompt,0,0,0
1,T1_M4,16,AI_first,Prompt,1,0,1
1,T1_M4,17,AI_first,NoPrompt,0,0,0
1,T1_M4,18,Interleaved,Prompt,1,0,0
1,T1_M4,19,AI_first,NoPrompt,1,0,0
1,T1_M4,20,Interleaved,Prompt,1,1,1
1,T1_M5,21,Human_first,Prompt,0,0,1
1,T1_M5,22,Interleaved,Prompt,1,0,0
1,T1_M5,23,Interleaved,Prompt,1,0,0
1,T1_M5,24,Interleaved,Prompt,1,0,0
1,T1_M5,25,Human_first,Prompt,0,0,1
1,T1_M6,26,AI_first,NoPrompt,0,0,1
1,T1_M6,27,Human_first,Prompt,0,0,0
1,T1_M6,28,Human_first,NoPrompt,0,1,1
1,T1_M6,29,Interleaved,NoPrompt,0,0,0
1,T1_M6,30,AI_first,Prompt,0,0,0
1,T1_M7,31,Human_first,Prompt,1,0,0
1,T1_M7,32,Interleaved,NoPrompt,0,0,0
1,T1_M7,33,Human_first,Prompt,0,0,0
1,T1_M7,34,Interleaved,Prompt,0,1,0
1,T1_M7,35,Human_first,NoPrompt,0,0,0
1,T1_M8,36,AI_first,Prompt,1,0,0
1,T1_M8,37,Human_first,NoPrompt,0,0,0
1,T1_M8,38,AI_first,Prompt,1,0,1
1,T1_M8,39,Human_first,Prompt,1,1,0
1,T1_M8,40,Interleaved,NoPrompt,1,1,0
1,T1_M9,41,Interleaved,NoPrompt,0,0,0
1,T1_M9,42,AI_first,Prompt,0,0,1
1,T1_M9,43,Interleaved,NoPrompt,1,0,0
1,T1_M9,44,Human_first,Prompt,0,0,1
1,T1_M9,45,AI_first,NoPrompt,1,1,1
1,T1_M10,46,Interleaved,Prompt,0,0,0
1,T1_M10,47,Interleaved,NoPrompt,1,0,0
1,T1_M10,48,Interleaved,Prompt,0,1,1
1,T1_M10,49,Interleaved,NoPrompt,0,0,0
1,T1_M10,50,Human_first,NoPrompt,0,0,1
1,T1_M11,51,AI_first,NoPrompt,0,0,0
1,T1_M11,52,Interleaved,Prompt,1,0,0
1,T1_M11,53,Interleaved,NoPrompt,0,0,1
1,T1_M11,54,AI_first,Prompt,1,0,1
1,T1_M11,55,Human_first,Prompt,0,0,0
1,T1_M12,56,AI_first,NoPrompt,0,0,0
1,T1_M12,57,AI_first,NoPrompt,1,1,1
1,T1_M12,58,Interleaved,NoPrompt,0,1,0
1,T1_M12,59,AI_first,Prompt,1,1,0
1,T1_M12,60,AI_first,NoPrompt,1,0,0
1,T1_M13,61,AI_first,NoPrompt,1,0,0
1,T1_M13,62,Human_first,NoPrompt,1,0,0
1,T1_M13,63,Human_first,NoPrompt,0,1,0
1,T1_M13,64,Human_first,NoPrompt,0,0,0
1,T1_M13,65,Human_first,Prompt,1,0,0
1,T1_M14,66,AI_first,NoPrompt,1,0,1
1,T1_M14,67,Interleaved,Prompt,0,0,0
1,T1_M14,68,Interleaved,NoPrompt,0,0,1
1,T1_M14,69,Human_first,NoPrompt,1,0,0
1,T1_M14,70,Interleaved,NoPrompt,0,0,1
1,T1_M15,71,AI_first,Prompt,0,0,0
1,T1_M15,72,Interleaved,Prompt,1,1,1
1,T1_M15,73,Human_first,NoPrompt,0,0,0
1,T1_M15,74,Human_first,Prompt,0,0,0
1,T1_M15,75,Interleaved,Prompt,1,0,1
1,T1_M16,76,Interleaved,NoPrompt,0,0,0
1,T1_M16,77,AI_first,Prompt,1,0,0
1,T1_M16,78,AI_first,NoPrompt,1,0,0
1,T1_M16,79,Interleaved,Prompt,0,0,0
1,T1_M16,80,Interleaved,Prompt,0,1,0
1,T1_M17,81,Human_first,NoPrompt,0,0,0
1,T1_M17,82,Human_first,Prompt,0,1,1
1,T1_M17,83,Human_first,NoPrompt,0,0,0
1,T1_M17,84,AI_first,NoPrompt,1,0,0
1,T1_M17,85,Interleaved,NoPrompt,0,0,1
1,T1_M18,86,Human_first,Prompt,1,0,0
1,T1_M18,87,AI_first,NoPrompt,0,1,1
1,T1_M18,88,AI_first,Prompt,0,0,0
1,T1_M18,89,Human_first,Prompt,0,1,0
1,T1_M18,90,Human_first,NoPrompt,0,0,0
1,T1_M19,91,Human_first,Prompt,0,1,0
1,T1_M19,92,AI_first,Prompt,1,0,0
1,T1_M19,93,Interleaved,Prompt,1,0,0
1,T1_M19,94,Interleaved,NoPrompt,0,0,0
1,T1_M19,95,Interleaved,Prompt,0,0,0
1,T1_M20,96,AI_first,NoPrompt,0,0,0
1,T1_M20,97,AI_first,Prompt,1,0,1
1,T1_M20,98,Interleaved,NoPrompt,0,0,0
1,T1_M20,99,AI_first,Prompt,1,0,0
1,T1_M20,100,AI_first,Prompt,1,0,1
2,T2_M1,101,Human_first,Prompt,1,0,0
2,T2_M1,102,AI_first,Prompt,1,1,1
2,T2_M1,103,Human_first,NoPrompt,1,1,0
2,T2_M1,104,Human_first,Prompt,1,1,0
2,T2_M1,105,AI_first,NoPrompt,1,0,0
2,T2_M2,106,AI_first,Prompt,1,0,0
2,T2_M2,107,Interleaved,Prompt,1,0,0
